salle_id;salle_nom;salle_capacite;salle_adr_rue
1;Théâtre Michel Portal;592;1 Rue Edouard Ducéré, 64100 Bayonne
2;La Luna Negra;82;7 Rue des Augustins, 64100 Bayonne
3;CIAP Lapurdum;213;7 Rue des Gouverneurs, 64100 Bayonne
4;La Luna Negra;82;7 Rue des Augustins, 64100 Bayonne
5;Théâtre Michel Portal;592;1 Rue Edouard Ducéré, 64100 Bayonne
6;Théâtre Michel Portal;592;1 Rue Edouard Ducéré, 64100 Bayonne
7;La Luna Negra;82;7 Rue des Augustins, 64100 Bayonne
8;Cinéma l'Atalante;170;3-5 Quai Amiral Antoine Sala, 64100 Bayonne
9;La Luna Negra;82;7 Rue des Augustins, 64100 Bayonne
10;Palais des sports de Lauga;270;S.U.A.P.S., 1 Av. Paul Pras, 64100 Bayonne
11;Salle Lauga;2400;25 Av. Paul Pras, 64100 Bayonne
12;Arène de Bayonne;10000;Rue Alfred Boulant, 64100 Bayonne
13;DIDAM;60;6 Quai de Lesseps, 64100 Bayonne
14;DIDAM;60;6 Quai de Lesseps, 64100 Bayonne
15;Cloître de la Cathédrale St  Marie de Bayonne;50;15 Rue des Prébendes, 64100 Bayonne
16;GALERIE DU 2e ÉTAGE ÉCOLE SUPÉRIEURE D’ART PAYS BASQUE CITÉ DES ARTS;50;3 Av. Jean Darrigrand, 64100 Bayonne
17;Musée Basque;110;37 Quai des Corsaires, 64100 Bayonne
18;Galerie des Corsaires;30;16 Rue Pontrique, 64100 Bayonne
19;La Luna Negra;82;7 Rue des Augustins, 64100 Bayonne
20;Esplanade Roland Barthes;160;All. des Platanes, 64100 Bayonne
21;Salle Lauga;2400;25 Av. Paul Pras, 64100 Bayonne
22;La Luna Negra;82;7 Rue des Augustins, 64100 Bayonne
23;La Luna Negra;82;7 Rue des Augustins, 64100 Bayonne
